Attack,Name,Tier,Post_RMSE_m,Post_Max_m,Improvement_%,Detection_Acc_%,Mean_Confidence,Latency_s,Recovery_RMSE_m,False_Alarm_%
A0,Normal,none,0.0638,0.0941,0.0,,,,,
A0,Normal,nn,0.0638,0.0963,-0.0,87.5,0.983,0.0,0.0305,0.0
A0,Normal,oracle,0.0638,0.0941,0.0,100.0,1.0,0.0,0.03,0.0
A1,Constant Bias,none,0.0826,0.2278,0.0,,,,,
A1,Constant Bias,nn,0.0683,0.1857,17.2,50.7,0.991,0.15,0.1938,0.0
A1,Constant Bias,oracle,0.0639,0.0941,22.6,100.0,1.0,0.0,0.03,100.0
A2,Sinusoidal,none,0.0819,0.1325,0.0,,,,,
A2,Sinusoidal,nn,0.0712,0.114,13.1,91.1,0.972,0.55,0.0936,0.0
A2,Sinusoidal,oracle,0.0755,0.0936,7.7,100.0,1.0,0.0,0.03,100.0
A3,Ramp Drift,none,0.0588,0.0948,0.0,,,,,
A3,Ramp Drift,nn,0.0592,0.0939,-0.8,32.1,0.93,1.7,0.0732,0.0
A3,Ramp Drift,oracle,0.0584,0.0936,0.6,100.0,1.0,0.0,0.0302,100.0
A4,Step Attack,none,0.0347,0.0802,0.0,,,,,
A4,Step Attack,nn,0.0359,0.0802,-3.5,80.7,0.982,0.1,0.2249,0.0
A4,Step Attack,oracle,0.0573,0.0936,-65.2,100.0,1.0,0.0,0.0299,100.0
A5,Replay Attack,none,1.4165,2.3923,0.0,,,,,
A5,Replay Attack,nn,0.8687,1.8133,38.7,77.5,0.988,0.15,4.5278,0.0
A5,Replay Attack,oracle,0.0595,0.0941,95.8,100.0,1.0,0.0,0.0298,100.0
A6,Pulse Train,none,0.0676,0.1364,0.0,,,,,
A6,Pulse Train,nn,0.063,0.1207,6.7,99.4,0.997,0.15,0.1147,0.0
A6,Pulse Train,oracle,0.0594,0.0941,12.1,100.0,1.0,0.0,0.0298,100.0
A7,Chirp Sweep,none,0.0597,0.1013,0.0,,,,,
A7,Chirp Sweep,nn,0.0585,0.1017,2.1,98.1,0.997,0.55,0.0978,0.0
A7,Chirp Sweep,oracle,0.0577,0.0941,3.5,100.0,1.0,0.0,0.03,100.0
A8,Multi-Tone Injection,none,0.0657,0.1199,0.0,,,,,
A8,Multi-Tone Injection,nn,0.0633,0.112,3.6,95.2,0.975,0.3,0.0908,0.0
A8,Multi-Tone Injection,oracle,0.0683,0.0936,-4.0,100.0,1.0,0.0,0.0296,100.0
